पिछले	JJ	B	O	O
कुछ	QF	I	O	O
दशक	NN	I	O	O
में	PSP	O	O	O
दुनियाभर	NN	O	O	O
में	PSP	O	O	O
एयर	XC	O	O	O
ट्रैवल	NN	O	O	O
में	PSP	O	O	O
काफी	QF	O	O	O
बढोतरी	VM	O	B-MISC	OCC
हुई	VAUX	O	I-MISC	O
है	VAUX	O	I-MISC	O
.	SYM	O	O	O
इसके	PRP	O	O	O
परिणामस्वरूप	NN	O	O	O
,	SYM	O	O	O
कार्ड	NN	O	O	O
से	PSP	O	O	O
खरीदारी	NN	O	B-MISC	OCC
करने	VM	O	I-MISC	O
पर	PSP	O	O	O
मिलने	VM	O	B-STAT	DESC
वाले	PSP	O	I-STAT	O
रिवॉर्ड	NN	O	O	O
के	PSP	O	O	O
रूप	NN	O	O	O
में	PSP	O	O	O
एयर	XC	O	O	O
माइल्स	NNP	O	O	O
देने	VM	O	O	O
वाले	PSP	O	O	O
क्रेडिट	JJ	O	O	O
कार्ड्स	NN	O	O	O
की	PSP	O	O	O
संख्या	NN	O	O	O
में	PSP	O	O	O
भी	RP	O	O	O
काफी	QF	O	O	O
बढोतरी	VM	O	B-MISC	OCC
हुई	VAUX	O	I-MISC	O
है	VAUX	O	I-MISC	O
.	SYM	O	O	O
ये	DEM	O	O	O
एक	QC	O	O	O
बैंक	NN	O	O	O
द्वारा	PSP	O	O	O
जारी	JJ	O	B-STAT	OCC
किए	VM	O	I-STAT	O
जाने	VAUX	O	I-STAT	O
वाले	PSP	O	O	O
स्टैंडअलोन	JJ	O	O	O
क्रेडिट	NN	O	O	O
कार्ड्स	NN	O	O	O
के	PSP	O	O	O
रूप	NN	O	O	O
में	PSP	O	O	O
भी	RP	O	O	O
हो	VM	O	B-MISC	OCC
सकते	VAUX	O	I-MISC	O
हैं	VAUX	O	I-MISC	O
और	CC	O	O	O
को-ब्रांडेड	JJ	O	O	O
कार्ड्स	NN	O	O	O
(	SYM	O	O	O
यानी	CC	O	O	O
एक	QC	O	O	O
बैंक	NN	O	O	O
और	CC	O	O	O
एक	QC	O	O	O
एयरलाइन	NN	O	O	O
के	PSP	O	O	O
बीच	NST	O	O	O
पार्टनरशिप	NN	O	O	O
)	SYM	O	O	O
के	PSP	O	O	O
रूप	NN	O	O	O
में	PSP	O	O	O
भी	RP	O	O	O
.	SYM	O	O	O
एयर	XC	O	O	O
माइल्स	NNP	O	O	O
क्रेडिट	JJ	O	O	O
कार्ड	NN	O	O	O
की	PSP	O	O	O
मदद	NN	O	O	O
से	PSP	O	O	O
खरीदारी	NN	O	B-MISC	OCC
करने	VM	O	I-MISC	O
पर	PSP	O	O	O
कुछ	QF	O	O	O
पॉइंट्स	NN	O	O	O
या	CC	O	O	O
माइल्स	NN	O	B-MISC	O
मिलते	VM	O	I-MISC	OCC
हैं	VAUX	O	I-MISC	O
.	SYM	O	O	O
एक	QC	O	O	O
खास	JJ	O	O	O
सीमा	NN	O	O	O
तक	RP	O	O	O
कुछ	QF	O	O	O
पॉइंट्स	NN	O	B-MISC	OCC
जमा	NN	O	I-MISC	O
होने	VM	O	I-MISC	O
के	PSP	O	O	O
बाद	NST	O	O	O
इन्हें	PRP	O	O	O
रिडीम	NN	O	B-MISC	OCC
किया	VM	O	I-MISC	O
जा	VAUX	O	I-MISC	O
सकता	VAUX	O	I-MISC	O
है	VAUX	O	I-MISC	O
.	SYM	O	O	O
इसका	PRP	O	O	O
सबसे	INTF	O	O	O
बडा	JJ	O	O	O
फायदा	NN	O	O	O
यह	PRP	O	O	O
